path	/ui/dialogs/menu_op/summaries												
op	en	zh-TW	ja	fr	ru	es	de	it	eo	th	vi	ko	ar
TOP GLSL Multi	Renders a GLSL shader into a TOP image. Its parameters and functionality are identical to the.	將GLSL著色器渲染為TOP圖像。它的參數和功能與之相同。	GLSLシェーダをTOP画像にレンダリングします。そのパラメータと機能はと同じです。	Renders un shader GLSL en une image vers le haut. Ses paramètres et fonctionnalités sont identiques à.	Оказывает GLSL шейдер в ТОП изображения. Его параметры и функциональность идентичны.	Representa un sombreado GLSL en una imagen superior. Sus parámetros y funcionalidad son idénticos al.	Generiert einen GLSL Shader in einem TOP Bild. Seine Parameter und Funktionen sind identisch mit dem.	Esegue il rendering di uno shader GLSL in un'immagine TOP. I suoi parametri e funzionalità sono identici al.	Laude al GLSL shader en TOP bildo. Pli parametroj kaj funcionalidad estas identaj al la.	วาทกรรม Shader GLSL เป็นภาพ TOP พารามิเตอร์และการทำงานของมันจะเหมือนกันกับ	Làm cho một Shader GLSL thành một hình ảnh TOP. thông số và chức năng của nó là giống với.	최고의 이미지로 GLSL 쉐이더를 렌더링합니다. 그것의 매개 변수와 기능은 동일합니다.	يجعل تظليل GLSL في صورة TOP. المعلمات وظائف مماثلة إلى.
TOP HSV Adjust	Adjust color values using hue, saturation, and value controls. If you change the Hue Offset, Saturation Multiplier and Value Multiplier without changing any of the other parameters then you will modify the color of all pixels in the image.	使用色調，飽和度和值控制調整顏色值。如果更改Hue Offset，Saturation Multiplier和Value Multiplier而不更改任何其他參數，則將修改圖像中所有像素的顏色。	色相、彩度、および値のコントロールを使用してカラー値を調整します。他のパラメータを変更せずに色相オフセット、彩度乗数、および値乗数を変更すると、画像内のすべてのピクセルの色が変更されます。	Ajuster les valeurs de couleur à l'aide de la teinte, la saturation, et les contrôles de valeur. Si vous modifiez la teinte Offset, la saturation et la valeur Multiplicateur Multiplicateur sans modifier les autres paramètres, vous pourrez modifier la couleur de tous les pixels de l'image.	Отрегулируйте значение цвета с помощью элементов управления оттенка, насыщенности и значения. Если вы измените Hue Offset, насыщенность Multiplier и значение Multiplier без изменения каких-либо других параметров, то вы будете изменять цвет всех пикселов в изображении.	Ajustar los valores de color usando los controles de matiz, saturación y valor. Si cambia la tonalidad Offset, saturación y valor Multiplicador Multiplicador sin cambiar ninguno de los otros parámetros a continuación, va a modificar el color de todos los píxeles de la imagen.	Anpassen der Farbwerte unter Verwendung von Farbton, Sättigung und Wert steuert. Wenn Sie den Farbton ändern Offset, Sättigung Multiplier und Wert Multiplier, ohne dass die anderen Parameter zu ändern, dann werden Sie die Farbe aller Pixel im Bild ändern.	Regolare i valori di colore controlli tonalità, saturazione e valore. Se si cambia la tonalità Offset, Saturazione Moltiplicatore e valore del moltiplicatore senza modificare uno qualsiasi degli altri parametri allora si avrà modificare il colore di tutti i pixel dell'immagine.	Alĝustigu koloro valoroj uzante nuancon, saturación, kaj valoron kontroloj. Se vi ŝanĝas la Hue Offset, Saturado Multiplier kaj Valoro Multiplier sen ŝanĝi iun el la aliaj parametroj tiam vi modifos la koloron de ĉiuj pikseloj en la bildo.	ปรับค่าสีโดยใช้การควบคุมสี, ความอิ่มตัวและความคุ้มค่า ถ้าคุณเปลี่ยนเว้ Offset, Saturation คูณและมูลค่าคูณโดยไม่มีการเปลี่ยนแปลงใด ๆ ของพารามิเตอร์อื่น ๆ แล้วคุณจะปรับเปลี่ยนสีของพิกเซลทั้งหมดในภาพ	Điều chỉnh giá trị màu sử dụng điều khiển màu sắc, độ bão hòa, và giá trị. Nếu bạn thay đổi Huế Offset, Saturation Multiplier và giá trị gia tăng Multiplier mà không thay đổi bất kỳ thông số khác thì bạn sẽ thay đổi màu sắc của tất cả các pixel trong hình ảnh.	색조, 채도 값과 컨트롤을 사용하여 컬러 값을 조정한다. 당신이 다른 매개 변수를 변경하지 않고 오프셋 색조, 채도 승수과 가치 승수를 변경하는 경우 당신은 이미지의 모든 픽셀의 색상을 수정합니다.	ضبط قيم اللون باستخدام ضوابط هوى، والتشبع والقيمة. إذا قمت بتغيير هوى أوفست، وتشبع المضاعف وقيمة المضاعف دون تغيير أي من المعلمات أخرى ثم سوف تعديل لون كل بكسل في الصورة.
TOP HSV to RGB	Converts an image from HSV color channels to RGB color channels.	將圖像從HSV顏色通道轉換為RGB顏色通道。	画像をHSVカラーチャンネルからRGBカラーチャンネルに変換します。	Convertir une image à partir des canaux de couleurs HSV aux canaux de couleur RVB.	Преобразование изображения из HSV цветовых каналов цветовых каналов RGB.	Convierte una imagen a partir de los canales de color HSV a canales de color RGB.	Wandelt ein Bild von HSV-Farbkanäle RGB-Farbkanäle.	Converte un'immagine da HSV canali di colore a canali di colore RGB.	Konvertas bildon el HSV koloro kanalojn al RVB koloro kanalojn.	แปลงภาพจากช่องสี HSV ช่องสี RGB	Chuyển đổi hình ảnh từ các kênh truyền hình màu HSV các kênh màu RGB.	RGB 컬러 채널 HSV 색 채널의 이미지를 변환한다.	تحويل صورة من قنوات اللون HSV إلى قنوات اللون RGB.
TOP Kinect	Captures video from the Kinect depth camera or RGB color camera. NOTE: This TOP works with the Kinect for Windows hardware and supports the Kinect2.	捕獲Kinect深度相機或RGB彩色相機的視頻。注意：此TOP適用於Kinect for Windows硬件並支持Kinect2。	Kinect深度カメラまたはRGBカラーカメラからビデオをキャプチャします。注：このTOPはKinect for Windowsハードウェアで動作し、Kinect 2をサポートします。	Capture vidéo de la caméra de profondeur Kinect ou une caméra couleur RVB. NOTE: Ce TOP fonctionne avec le Kinect pour le matériel Windows et prend en charge le Kinect2.	Захват видео с глубиной камеры Kinect или цветной камеры RGB. Примечание: Этот ТОП работает с Kinect аппаратных средств Windows, а также поддерживает Kinect2.	Captura de vídeo de la cámara de profundidad Kinect o la cámara de color RGB. NOTA: Este TOP trabaja con el Kinect para Windows y es compatible con el hardware del Kinect2.	Erfaßt Video von der Kinect Tiefenkamera oder RGB-Farbkamera. HINWEIS: Die TOP mit dem Kinect für Windows Hardware funktioniert und unterstützt die Kinect2.	Cattura video dalla telecamera di profondità Kinect o telecamera a colori RGB. NOTA: Questo TOP funziona con il Kinect per l'hardware di Windows e supporta la Kinect2.	Kaptas video de la Kinect profundo fotilo aŭ RVB koloro fotilo. ATENTU: Tiu TOP laboras kun la Kinect por Windows aparataro kaj subtenas la Kinect2.	จับภาพวิดีโอจากกล้อง Kinect ลึกหรือกล้องสี RGB หมายเหตุ: TOP นี้ทำงานร่วมกับฮาร์ดแวร์ Kinect สำหรับ Windows และสนับสนุน Kinect2	Chụp video từ camera độ sâu Kinect hoặc camera màu RGB. LƯU Ý: TOP này làm việc với Kinect cho phần cứng Windows và hỗ trợ các Kinect2.	키 넥트 깊이 카메라 또는 RGB 컬러 카메라에서 비디오를 캡처합니다. 참고 :이 TOP 윈도우 하드웨어 키 넥트와 공동으로 작업하여 Kinect2을 지원합니다.	يلتقط الفيديو من الكاميرا عمق كينيكت أو RGB اللون كاميرا. ملاحظة: هذا TOP يعمل مع كينيكت لأجهزة ويندوز ويدعم Kinect2.
TOP In	Is used to create a TOP input in a Component. Component inputs are positioned alphanumerically on the left side of the Component.	用於在Component中創建TOP輸入。組件輸入以字母數字的形式定位在組件的左側。	ComponentにTOP入力を作成するために使用されます。コンポーネント入力は、コンポーネントの左側に英数字で配置されています。	Il est utilisé pour créer une entrée vers le haut dans un composant. les entrées de composants sont positionnés de manière alphanumérique sur le côté gauche du volet.	Используется для создания TOP ввода в компоненте. Компонентные входы расположены в алфавитном на левой стороне компоненты.	Se utiliza para crear una entrada de TOP en un componente. entradas de componentes están posicionados de forma alfanumérica en el lado izquierdo del componente.	Wird verwendet, um einen TOP-Eingang in einer Komponente zu erstellen. Komponenten-Eingänge sind so positioniert, alphanumerisch auf der linken Seite der Komponente.	Viene utilizzato per creare un ingresso TOP in un componente. ingressi componente sono posizionati alfanumerico sul lato sinistro del componente.	Estas uzata por krei TOP enigo en Component. Komponanto enigoj estas poziciigita alphanumerically sur la maldekstra flanko de la Constituyente.	ถูกนำมาใช้เพื่อสร้างการป้อนข้อมูลสูงสุดในคอมโพเนนต์ ปัจจัยองค์ประกอบอยู่ในตำแหน่งที่ alphanumerically ทางด้านซ้ายขององค์ประกอบ	Được sử dụng để tạo ra một đầu vào TOP trong một phần. đầu vào thành phần được định vị alphanumerically ở phía bên trái của Hợp phần.	구성 요소의 TOP 입력을 만드는 데 사용됩니다. 입력 구성 요소는 구성 요소의 왼쪽에 위치하는 영숫자.	يستخدم لإنشاء إدخال فوق في المكونات. يتم وضع المدخلات المكونة alphanumerically على الجانب الأيسر من المكونات.
TOP Inside	Places Input1 'inside' Input2. The alpha of Input2 is used to determine what parts of the Input1 image are visible.	將Input1'置於'Input2內。 Input2的alpha用於確定Input1圖像的哪些部分可見。	入力1を入力2の内側に配置します。 Input2のアルファは、Input1イメージのどの部分が見えるのかを決定するために使用されます。	Places Entrée1 'intérieur' Input2. L'alpha de Input2 est utilisé pour déterminer quelles parties de l'image Input1 sont visibles.	Места input1 'внутри' Input2. Альфа Input2 используется для определения того, какие части изображений Input1 видны.	Lugares Input1 'interior' INPUT2. El alfa de Entrada2 se utiliza para determinar qué partes de la imagen Input1 son visibles.	Orte Input1 'innen' Input2. Die Alpha von Input2 wird verwendet, um zu bestimmen, welche Teile des Input1 Bild sichtbar sind.	Luoghi Input1 'dentro' INPUT2. L'alfa di Input2 è utilizzato per determinare quali parti dell'immagine Input1 sono visibili.	Lokoj Input1 'interne' Input2. La alfa de Input2 estas uzata por determini kion partoj de la Input1 bildo estas videbla.	สถานที่อินพุต 1 'ภายใน' อินพุต 2 อัลฟาของอินพุต 2 จะใช้ในการตรวจสอบสิ่งที่บางส่วนของภาพอินพุต 1 สามารถมองเห็นได้	Địa Input1 'bên' Input2. Alpha của Input2 được sử dụng để xác định những phần nào của hình ảnh Input1 có thể nhìn thấy.	장소 입력 1 '내부'입력 2. 입력 2의 알파는 입력 1의 화상 표시 부분이 무엇인지를 결정하는데 사용된다.	الأماكن Input1 'داخل' Input2. يستخدم ألفا من Input2 لتحديد ما هي أجزاء من الصورة Input1 مرئية.
TOP Level	Adjusts image contrast, brightness, gamma, black level, color range, quantization, opacity and more.	調整圖像對比度，亮度，伽瑪，黑電平，顏色範圍，量化，不透明度等。	画像のコントラスト、明るさ、ガンマ、黒レベル、色の範囲、量子化、不透明度などを調整します。	Permet de régler le contraste de l'image, la luminosité, le gamma, le niveau de noir, la gamme de couleurs, la quantification, l'opacité et plus.	Регулировка контрастности изображения, яркость, гамма, уровень черного, цветовой диапазон, квантование, непрозрачность и многое другое.	Ajusta contraste de imagen, brillo, gamma, nivel de negro, gama de colores, de cuantificación, la opacidad y más.	Stellt Bild Kontrast, Helligkeit, Gamma-, Schwarzwert, Farbbereich, Quantisierung, Opazität und mehr.	Regola contrasto, luminosità, gamma, il livello nero, gamma di colori, di quantizzazione, opacità e più.	Ĝustigas bildo kontrasto, brilo, gama, nigra nivelo, koloro gamo, kvantumigo, opakeco kaj pli.	ปรับความคมชัดของภาพ, ความสว่างแกมมาระดับสีดำช่วงสี quantization ทึบและอื่น ๆ	Điều chỉnh độ tương phản hình ảnh, độ sáng, gamma, độ đen, phạm vi màu sắc, lượng tử hóa, opacity và nhiều hơn nữa.	이미지 콘트라스트, 휘도, 감마, 블랙 레벨, 색상 범위, 양자화, 투명도 등을 조정한다.	يضبط صورة التباين والسطوع، غاما، ومستوى اللون الأسود، لون طائفة، تكميم، والتعتيم وأكثر من ذلك.
TOP Leap Motion	Gets the image from the Leap Motion Controller's cameras.  To enable this feature the option Allow Images must be turned on in the Leap Motion Control Panel.	從Leap Motion Controller的攝像頭獲取圖像。要啟用此功能，必須在Leap Motion控制面板中打開“允許圖像”選項。	Leap Motion Controllerのカメラから画像を取得します。この機能を有効にするには、Leap Motionのコントロールパネルで[画像の許可]オプションをオンにする必要があります。	Obtient l'image de caméras du Leap Motion Controller. Pour activer cette fonction l'option Autoriser les images doivent être activées dans le saut de mouvement Panneau de configuration.	Возвращает изображение с камеры Motion Контролера високосного. Чтобы включить эту функцию, опция Allow Изображение должно быть включено в Leap Motion Control Panel.	Obtiene la imagen de las cámaras el controlador de movimiento de salto. Para activar esta función la opción de permitir que las imágenes deben estar encendidos en el panel de control de movimiento de salto.	Ruft das Bild von der Leap Motion Controllers Kameras. So aktivieren Sie müssen diese Funktion die Option zulassen Bilder auf im Leap Motion Control Panel gedreht werden.	Ottiene l'immagine dalle telecamere del Leap Motion Controller. Per attivare questa funzione l'opzione Consenti immagini devono essere attivate nel Pannello di controllo di movimento Leap.	Ricevas la bildon de la Leap Motion Controller la fotiloj. Por ebligi tiun funkcion la opcion Permesu Bildoj devas esti ŝaltita en la Leap Motion Kontrolo Panelo.	ได้รับภาพจากกล้อง Leap Motion ควบคุมของ ต้องการเปิดใช้งานคุณลักษณะนี้ตัวเลือกในการอนุญาตให้แสดงสินค้าจะต้องเปิดในแผง Leap Motion ควบคุม	Gets hình ảnh từ máy ảnh điều khiển Leap Motion của. Để bật tính năng này tùy chọn Allow hình ảnh phải được bật trong Leap Motion Control Panel.	도약 모션 컨트롤러의 카메라에서 이미지를 가져옵니다. 옵션 이미지가 도약 모션 컨트롤 패널에 설정되어 있어야합니다 허용이 기능을 사용하려면.	يحصل على صورة من الكاميرات القفزة الحركة المراقب المالي. لتمكين هذه الميزة يجب تشغيل الصور على في لوحة تحكم الحركة قفزة الخيار السماح.
TOP Lookup	Replaces color values in the TOP image connected to its first input with values derived from a lookup table created from its second intput or a lookup table created using the CHOP parameter.	將連接到其第一個輸入的TOP圖像中的顏色值替換為從第二個輸入或使用CHOP參數創建的查找表創建的查找表派生的值。	最初の入力に接続されているTOP画像のカラー値を、2番目の入力から作成されたルックアップテーブルまたはCHOPパラメータを使用して作成されたルックアップテーブルから派生した値で置き換えます。	Remplace des valeurs de couleur dans l'image supérieure reliée à sa première entrée avec des valeurs dérivées à partir d'une table de correspondance créée à partir de son deuxième intput ou une table de consultation créé à l'aide du paramètre CHOP.	Заменяет значения цвета в изображении TOP, подключенного к его первому входу со значениями, полученными из справочной таблицы, созданной из его второго intput или справочной таблицы, созданной с помощью параметра СНОР.	Sustituye los valores de color en la imagen superior conectado a su primera entrada con valores derivados de una tabla de búsqueda creado a partir de su segunda insumo de factor o una tabla de búsqueda creado usando el parámetro de CHOP.	Ersetzt Farbwerte in dem Bild oben zu seinem ersten Eingang verbunden mit den Werten aus einer Nachschlagtabelle von seiner zweiten intput oder einer Nachschlagtabelle der CHOP-Parameter verwendet wird, erstellt abgeleitet.	Sostituisce valori di colore nell'immagine TOP connesso al suo primo ingresso con valori derivati ​​da una tabella di ricerca creata dal suo secondo gli input o una tabella di ricerca creata utilizzando il parametro CHOP.	Anstataŭas koloro valorojn en la TOP bildo konektita al lia unua eniro kun valoroj derivita de lookup tablo kreita de ĝia dua intput aŭ lookup tablo kreitaj uzante la kotleton parametron.	แทนที่ค่าสีในภาพ TOP ที่เชื่อมต่อกับการป้อนข้อมูลเป็นครั้งแรกที่มีค่าที่ได้มาจากตารางการค้นหาที่สร้างขึ้นจาก intput สองหรือตารางการค้นหาสร้างขึ้นโดยใช้พารามิเตอร์สับ	Thay thế các giá trị màu trong hình ảnh TOP kết nối với đầu vào đầu tiên của mình với các giá trị có nguồn gốc từ một bảng tra cứu tạo ra từ intput thứ hai hoặc một bảng tra cứu tạo ra bằng cách sử dụng tham số CHOP.	두번째 INTPUT 또는 CHOP 파라미터를 사용하여 생성 된 룩업 테이블로부터 생성 된 룩업 테이블로부터 도출 된 값의 첫 번째 입력에 연결 TOP 화상의 색상 값을 대체한다.	يستبدل قيم الألوان في الصورة أعلى متصلة الأول مدخلاتها مع القيم المستمدة من جدول بحث تم إنشاؤها من INTPUT في الثانية أو جدول بحث تم إنشاؤها باستخدام المعلمة CHOP.
TOP Luma Blur	Blurs image on a per-pixel basis depending on the luminance or greyscale value of its second input. The image is blurred with separate parameters for white and black filter sizes, which correspond to the white and black luminance values of the second input.	基於每個像素模糊圖像，取決於其第二輸入的亮度或灰度值。使用白色和黑色濾鏡尺寸的單獨參數模糊圖像，這些參數對應於第二輸入的白色和黑色亮度值。	2番目の入力の輝度またはグレースケール値に応じて、ピクセル単位で画像をぼかします。画像は、2番目の入力の白と黒の輝度値に対応する、白と黒のフィルタサイズの別々のパラメータでぼやけています。	Brouille l'image sur une base pixel par pixel en fonction de la luminance ou de la valeur d'échelle de gris de sa deuxième entrée. L'image est floue avec des paramètres distincts pour les tailles de filtre blanc et noir, qui correspondent aux valeurs de luminance blanche et noire de la seconde entrée.	Размывает изображение на основе каждого пикселя в зависимости от яркости или градаций серого значения его второго входного сигнала. Изображение размыто с отдельными параметрами для белых и черных размеров фильтров, которые соответствуют белым и черным значениям яркости второго входа.	Difumina la imagen en una base por píxel en función de la luminancia o el valor de escala de grises de su segunda entrada. La imagen es borrosa con parámetros independientes para tamaños de filtro en blanco y negro, que corresponden a los valores de luminancia blanco y negro de la segunda entrada.	Unschärfen Bild auf einer Pro-Pixel-Basis auf der Luminanz oder Grauwert von seinem zweiten Eingang abhängig. Das Bild wird mit separaten Parametern verschwommen für Weiß und Schwarz Filtergrößen, die die weißen und schwarze Luminanzwerte des zweiten Eingangs entsprechen.	Sfuocature immagine su una base per-pixel in funzione della luminanza o valore in scala di grigi del suo secondo ingresso. L'immagine è sfocata con parametri distinti per bianchi e neri dimensioni del filtro, che corrispondono ai valori di luminanza bianchi e neri del secondo ingresso.	Nebuligas bildo sur po-pikselo bazo depende de la luminancia aŭ greyscale valoro de lia dua eniro. La bildo estas neklara kun apartaj parametroj por blanka kaj nigra filtrilo grandecoj, kiuj respondas al la blanka kaj nigra luminancia valoroj de la dua enigo.	พร่าเลือนภาพบนพื้นฐานต่อพิกเซลขึ้นอยู่กับความสว่างหรือเฉดสีเทามูลค่าของการป้อนข้อมูลที่สอง ภาพจะเบลอกับพารามิเตอร์ที่แยกต่างหากสำหรับขนาดกรองสีขาวและสีดำซึ่งตรงกับสีขาวและสีดำค่าความสว่างของการป้อนข้อมูลที่สอง	Làm mờ hình ảnh trên một cơ sở cho mỗi pixel tùy thuộc vào độ sáng hoặc giá trị xám của đầu vào thứ hai của mình. Hình ảnh mờ với các thông số riêng biệt cho kích thước bộ lọc màu trắng và đen, tương ứng với các giá trị độ sáng trắng và màu đen của đầu vào thứ hai.	휘도 또는 제 2 입력의 그레이 스케일 값에 따라 화소마다 화상을 흐리게. 이미지는 상기 제 2 입력의 흰색과 검은 색의 휘도 값에 해당하는 흰색과 검은 색의 필터 크기에 대해 개별 파라미터 흐리게된다.	يطمس الصورة على أساس لكل بكسل اعتمادا على الإنارة أو قيمة اللون الرمادي من المدخلات الثاني. حالة عدم وضوح الصورة مع المعلمات منفصلة لأحجام مرشح الأبيض والأسود، والتي تتوافق مع قيم الإنارة البيضاء والسوداء من الإدخال الثاني.
TOP Luma Level	Adjusts image brightness, gamma, black level, quantization, opacity and more. It has similar parameters to the Level TOP, but it maintains the hue and saturation more accurately when you use Gamma and Black Level.	調整圖像亮度，伽瑪，黑電平，量化，不透明度等。它具有與Level TOP類似的參數，但是當您使用Gamma和Black Level時，它可以更準確地保持色調和飽和度。	画像の明るさ、ガンマ、黒レベル、量子化、不透明度などを調整します。 Level TOPと似たパラメータがありますが、GammaとBlack Levelを使用すると、色相と彩度がより正確に維持されます。	Permet de régler la luminosité de l'image, gamma, du niveau de noir, la quantification, l'opacité et plus. Il a des paramètres similaires au niveau supérieur, mais il maintient la teinte et la saturation avec plus de précision lorsque vous utilisez Gamma et niveau de noir.	Регулировка яркости изображения, гамма, уровень черного, квантование, непрозрачность и многое другое. Она имеет аналогичные параметры для верхнего уровня, но сохраняет оттенок и насыщенность более точно при использовании гаммы и уровня черного.	Ajusta el brillo de la imagen, gamma, el nivel de negro, la cuantificación, la opacidad y más. Cuenta con parámetros similares a los del nivel superior, pero se mantiene el tono y la saturación con mayor precisión cuando se utiliza Gamma y Nivel Negro.	Zum Einstellen der Bildhelligkeit, Gamma-, Schwarzwert, Quantisierung, Opazität und mehr. Es hat ähnliche Parameter der Stufe nach oben, aber es hält den Farbton und Sättigung genauer, wenn Sie Gamma- und Schwarzwert verwenden.	Regola la luminosità dell'immagine, gamma, livello del nero, quantizzazione, l'opacità e molto altro ancora. Ha parametri simili al primo livello, ma mantiene la tonalità e la saturazione con maggiore precisione quando si utilizza Gamma e livello del nero.	Ĝustigas bildo brilo, gama, nigra nivelo, kvantumigo, opakeco kaj pli. Ĝi havas similajn parametrojn al la nivelo TOP, sed subtenas la nuanco kaj saturo pli precize dum uzo Gamma kaj Nigra nivelo.	ปรับความสว่างของภาพรังสีระดับสีดำ, ควอนทึบและอื่น ๆ มันมีค่าคล้ายกับระดับบนสุด แต่จะรักษาสีและความอิ่มตัวถูกต้องมากขึ้นเมื่อคุณใช้รังสีและระดับสีดำ	Điều chỉnh độ sáng hình ảnh, gamma, độ đen, lượng tử hóa, opacity và nhiều hơn nữa. Nó có các thông số tương tự như các cấp cao nhất, nhưng nó vẫn duy trì sắc và độ bão hòa chính xác hơn khi bạn sử dụng Gamma và Black Level.	이미지 휘도, 감마, 블랙 레벨, 양자화, 투명도 등을 조정한다. 그것은 레벨 TOP 유사 매개 변수가 있지만, 감마 및 블랙 레벨을 사용할 때보다 정확하게 색조 및 채도를 유지합니다.	بضبط سطوع الصورة، جاما، ومستوى الأسود، تكميم، والتعتيم وأكثر من ذلك. أنه يحتوي على معلمات مماثلة إلى TOP مستوى، ولكنه يحافظ على هوى والتشبع أكثر دقة عند استخدام غاما ومستوى الأسود.
TOP Math	Performs specific mathematical operations on the pixels of the input image.	對輸入圖像的像素執行特定的數學運算。	入力画像のピクセルに対して特定の数学演算を実行します。	Exécute des opérations mathématiques spécifiques sur les pixels de l'image d'entrée.	Выполняет конкретные математические операции на пикселях входного изображения.	Realiza operaciones matemáticas específicas sobre los píxeles de la imagen de entrada.	Führt bestimmte mathematische Operationen auf den Pixeln des Eingangsbildes.	Esegue specifiche operazioni matematiche sui pixel dell'immagine di input.	Elfaras specifaj matematikaj operacioj sur la pikseloj de la enigo bildo.	ดำเนินการดำเนินการทางคณิตศาสตร์ที่เฉพาะเจาะจงในพิกเซลของภาพการป้อนข้อมูล	Thực hiện các phép toán cụ thể về các điểm ảnh của hình ảnh đầu vào.	입력 화상의 화소의 특정 수학적 연산을 수행한다.	ينفذ العمليات الحسابية محددة بشأن بكسل من الصورة المدخلة.
TOP Matte	Composites input1 over input2 using the alpha channel of input3 as a matte. White (one) pixels in input3's alpha channel will draw input1 over input2, black (or zero) will make input1 transparent, leaving the input2 image at that pixel.	使用input3的alpha通道作為遮罩，在input2上複合輸入1。 input3的alpha通道中的白色（一個）像素將在input2上繪製input1，黑色（或零）將使input1透明，將input2圖像留在該像素處。	入力3のアルファチャンネルをマットとして使用して、入力1と入力2を合成します。 input3のアルファチャンネルの白（1）ピクセルはinput2上にinput1を描画し、黒（またはゼロ）はinput1を透明にし、そのピクセルにinput2イメージを残します。	Composites Input1 sur input2 en utilisant le canal alpha du ENTRÉE3 comme cache. White (un) des pixels dans le canal alpha du ENTRÉE3 attirera input1 sur input2, noir (ou zéro) fera input1 transparent, en laissant l'image de input2 à ce pixel.	Композиты input1 над вход2 с использованием альфа-канал INPUT3 в качестве штейна. Белый (один) пикселей в альфа-канале INPUT3 будет рисовать вход1 над input2, черный (или ноль) сделает вход1 прозрачным, оставляя Input2 изображение на этом пикселе.	Composites INPUT1 sobre INPUT2 usando el canal alfa de input3 como un mate. White (uno) píxeles en el canal alfa de input3 dibujará INPUT1 sobre INPUT2, negro (o cero) hará INPUT1 transparente, dejando la imagen INPUT2 en ese pixel.	Composites input1 über input2 den Alphakanal des input3 als Matte verwendet wird. White (eins) Pixel in input3 Alphakanal werden ziehen input1 über input2, schwarz (oder Null) werden input1 transparent machen, die an diesem Pixel input2 Bild zu hinterlassen.	Compositi input1 sopra input2 utilizzando il canale alfa input3 come mascherino. Bianco (uno) pixel nel canale alfa di input3 trarrà input1 sopra input2, nero (o zero) farà input1 trasparente, lasciando l'immagine input2 in quel pixel.	Composites input1 super input2 uzante la alfa kanalo de input3 kiel senbrila. Blanka (unu) pikseloj en input3 la alfa kanalo altiros input1 super input2, nigra (aŭ nulo) faros input1 travidebla, lasante la input2 bildo en tiu bildero.	คอมโพสิต INPUT1 กว่า input2 ใช้ช่องอัลฟาของอินพุต 3 เป็นเคลือบ สีขาว (หนึ่ง) พิกเซลในช่องอัลฟาอินพุต 3 จะวาด input1 กว่า input2 สีดำ (หรือศูนย์) จะทำให้ input1 โปร่งใสออกจากภาพ input2 ที่พิกเซลที่	Composites Input1 qua Input2 sử dụng kênh alpha của Input3 như một mờ. Trắng (một) điểm ảnh trong kênh alpha Input3 sẽ vẽ Input1 qua Input2, đen (hoặc không có) sẽ làm cho Input1 minh bạch, để lại hình ảnh Input2 tại pixel.	복합 재료는 매트로 INPUT3의 알파 채널을 사용하여 입력 2 이상 입력 1. 화이트 INPUT3의 알파 채널 (하나의) 화소가 그 화소에 입력 2 화상을 떠나는 것, 투명 입력 1 입력 2 검정 (또는 제로)를 통해 입력 1 당길 것이다.	المركبات input1 على input2 باستخدام قناة ألفا من input3 باعتباره غير لامع. الأبيض و(واحد) بكسل في قناة ألفا input3 في رسم input1 على input2، أسود (أو صفر) سيجعل input1 شفافة، وترك صورة input2 لتلك النقطة.
TOP Monochrome	Changes an image to greyscale colors. You can choose from a number of different methods to convert the image to greyscale using the RGB and Alpha menus.	將圖像更改為灰度顏色。您可以選擇多種不同的方法，使用RGB和Alpha菜單將圖像轉換為灰度。	画像をグレースケールカラーに変更します。 RGBメニューとAlphaメニューを使用して、画像をグレースケールに変換するためのさまざまな方法から選択できます。	Modifie une image aux couleurs nuances de gris. Vous pouvez choisir parmi un certain nombre de méthodes différentes pour convertir l'image en utilisant les menus niveaux de gris RVB et Alpha.	Изменение изображения в оттенках серого цвета. Вы можете выбрать один из нескольких различных методов для преобразования изображения в оттенки серого с помощью меню RGB и Alpha.	Cambia una imagen a escala de grises colores. Puede elegir entre una serie de diferentes métodos para convertir la imagen a escala de grises usando los menús RGB y alfa.	Ändert ein Bild Graustufen Farben. Sie können aus einer Reihe verschiedener Methoden wählen, um das Bild zu konvertieren Menüs mit der RGB und Alpha in Graustufen.	Cambia l'immagine ai colori in scala di grigi. È possibile scegliere tra una serie di metodi diversi per convertire l'immagine in scala di grigi utilizzando i menu RGB e Alpha.	Ŝanĝas bildon por greyscale koloroj. Vi povas elekti el kelkaj malsamaj metodoj por konverti la bildo al greyscale uzante la RGB kaj Alfa menuoj.	เปลี่ยนภาพสีขาวดำ คุณสามารถเลือกจากจำนวนของวิธีการที่แตกต่างกันในการแปลงภาพเพื่อเฉดสีเทาโดยใช้ RGB และอัลฟาเมนู	Thay đổi một hình ảnh để màu xám. Bạn có thể chọn từ một số phương pháp khác nhau để chuyển đổi hình ảnh để thang màu xám bằng cách sử dụng menu RGB và Alpha.	그레이 스케일 색상에 이미지를 변경합니다. 당신은 RGB 및 알파 메뉴를 사용하여 그레이 스케일 이미지를 변환하는 다양한 방법 중에서 선택할 수 있습니다.	تغيير صورة إلى الألوان اللون الرمادي. يمكنك الاختيار من بين عدد من الطرق المختلفة لتحويل الصورة إلى اللون الرمادي باستخدام القوائم RGB وألفا.
