CHOP Analyze	查看通道的所有值的值，並將單個數字結果輸出到輸出中。
TOP Oculus Rift	注 - 自DK1以來，Oculus SDK已經發生了很大的變化。最初的DK1使用Oculus Rift TOP進行桶形失真。
TOP Scalable Display	允許您加載從運行可擴展顯示校準軟件檢索到的校準數據。有關可伸縮顯示器SDK的TouchDesigners集成的完整指南，請參閱如何使用可擴展顯示器校準投影儀。
TOP Switch	是一個多輸入操作符，它允許您使用Input參數切換傳遞的輸入。
TOP Texture 3D	創建3D紋理貼圖。它將一系列圖像保存在一個像素陣列中。此TOP可與Time Machine TOP以及材料一起使用。
TOP Threshold	對於低於閾值的像素，創建像素值設置為0的遮罩，對於大於或等於閾值的像素，創建1。
TOP Tile	以重複模式平鋪圖像。它還有一個裁剪選項，通過定義圖像左，右，底部和頂部邊緣的位置來裁剪圖像。
TOP Time Machine	合併存儲在紋理3D TOP中的圖像序列中的像素。 “變形”在空間上（在xy中）扭曲圖像，而Time Machine僅在時間上扭曲圖像。
TOP Transform	將2D變換應用於TOP圖像，如平移，縮放，旋轉和多重複平鋪。背景可以填充純色和alpha。
TOP Under	將Input1'置於'Input2下。 Input2的alpha用於確定Input1圖像的哪些部分在結果中可見。
TOP CPlusPlus	允許您通過使用C ++編寫自己的.dll來製作自定義TOP運算符。注意：CPlusPlus TOP僅適用於TouchDesigner Commercial和TouchDesigner Pro。
TOP CUDA	在NVIDIA GPU上運行CUDA程序（8000系列及更高版本，此處為完整列表）。使用CUDA TOP，你需要編寫一個CUDA DLL。
TOP Depth	從指定的渲染TOP中描述的場景中讀取包含深度信息的圖像。在表面處於近深度值（攝像機參數“近”）的像素處，得到的圖像為黑色（0）。
TOP Movie File Out	將TOP流保存為各種格式的QuickTime或MP4（.mp4）電影，以及動畫，Cineform和Hap Q視頻編解碼器。
TOP OP Viewer	可以將任何其他運算符的節點查看器顯示為TOP圖像。如果操作員源是Panel Component，則還支持通過TOP圖像進行面板交互。
TOP Render	用於在TouchDesigner中渲染所有3D場景。您需要至少為它提供一個Camera對象和一個Geometry對象。
TOP Render Pass	與Render TOP一起使用以實現多通道渲染。它可以通過使用幀緩衝區中的現有深度/顏色信息來構建其輸入渲染，或者可以選擇在渲染之前清除一個或兩個深度/顏色緩衝區。
TOP Render Select	允許您從任何渲染TOP中選擇一個顏色緩衝區。
TOP SDI Out	是僅限TouchDesigner Pro的操作員。 SDI Out TOP使用Nvidia的SDI輸出卡將視頻幀直接輸出到輸出卡，避免任何涉及Windows的問題，如vsync，桌面撕裂等。
TOP SSAO	在Render TOP或Render Pass TOP的輸出上執行屏幕空間環境光遮擋。由於此技術需要訪問深度緩衝區，因此Render / RenderPass TOP和SSAO TOP之間不能有其他TOP。
TOP Anti Alias	Anti-Alias TOP使用屏幕空間抗鋸齒技術稱為“SMAA：增強的亞像素形態抗鋸齒”？
TOP Text	顯示圖像中的文本字符串。它允許多種字體，大小，顏色，邊框，字符分隔和線條分離。
TOP Touch In	讀取圖像數據將通過Touch Out TOP通過TCP / IP網絡連接發送。另一個TouchDesigner進程可以位於同一台計算機上，也可以位於連接網絡上任何位置的另一台計算機上。
TOP Touch Out	通過TCP / IP將TOP圖像流發送到Touch In TOP。 Touch In TOP可以位於同一台計算機上的另一個TouchDesigner會話中，也可以位於連接網絡上任何位置的計算機上。
TOP Video Device In	可用於從連接到系統的外部攝像頭，採集卡或DV解碼器捕獲視頻。
TOP Video Device Out	使用本機驅動程序庫將視頻路由到輸出設備。目前支持的設備：Blackmagic Design設備Video Device Out TOP僅適用於Commercial和Pro。
TOP Video Stream Out	創建RTSP服務器以通過網絡發送H.264視頻和MP3音頻。它使用Nvidia的硬件H264編碼器來實現低延遲編碼。
MAT Constant	在材質上呈現恆定顏色。要應用紋理，請使用Phong MAT並將Diffuse和Specular參數的顏色設置為（0,0,0），然後使用Emit參數設置顏色，如果要應用紋理，則使用Color Map。
MAT Depth	Depth Only MAT可用於通過在Z中製作隱形屏障來防止繪製對象。
MAT GLSL	允許您在TouchDesigner中編寫或導入自定義材料。當GLSL著色器中存在編譯錯誤時，將顯示藍色/紅色棋盤錯誤著色器。
MAT Null	做得不多，但在構建網絡時派上用場。
MAT Phong	使用Phong Shading模型創建材質。它支持紋理，反射，凸起，錐形燈，邊緣燈，alpha貼圖等。
MAT Point Sprite	允許您控制Point Sprites的某些屬性（使用粒子SOP或DAT到SOP可創建）。
MAT Select	從項目中的任何位置抓取另一種材料。
MAT Switch	允許在2個材料輸入之間切換。
MAT Wireframe	將多邊形和曲線的邊緣渲染為線條。
SOP Add	既可以自己創建新的點和多邊形，也可以用於將點和多邊形添加到現有輸入。
SOP Align	通過沿任何軸點平移或旋轉每個圖元，將一組圖元彼此對齊或與輔助輸入對齊。
SOP Attribute Create	允許您向幾何體添加法線或切線。
SOP Attribute	允許您手動重命名和刪除點和基元屬性。
SOP Basis	提供一組適用於樣條曲線和曲面的參數空間的操作。參數空間，也稱為NURBS或Bzier基元的“域”，在U方向上由一個基礎定義，如果基元是表面，則在V方向上定義另一個基礎。
SOP Blend	在具有相同拓撲的形狀之間提供3D變形。它可以使用每個輸入的相應通道的平均權重在16個輸入SOP之間進行混合。
SOP Bone Group	通過公共骨骼（共享骨骼）對基元進行分組。有關使用“骨骼組”來變形幾何體的更多信息，請參閱以下文章：Deforming_Geometry_（蒙皮）。
SOP Boolean	採用兩個閉合的多邊形集合A和B.將這些源設置為具有您希望操作的3D形狀的SOP。
SOP Box	創建長方體。這些可以單獨用作幾何形狀，或者可以細分它們以與萊迪思SOP一起使用。
SOP Bridge	適用於修剪修剪過的表面，孔洞，在手臂和身體，樹枝或管道交叉點之間創建高度可控的連接。
SOP Cache	在緩存中收集其輸入幾何，以便更快地隨機訪問多個SOP。當SOP鏈的烹飪時間很長並且需要更快的播放時，應該使用它。
SOP Cap	用於封閉帶有扁平或圓形覆蓋物的開放區域。通過沿U或V方向延伸網格來限製網格（例如，
SOP Carve	適用於任何面或表麵類型，即多邊形，Bzier或NURBS。它可用於切割基元，將其切割成多個部分，或從中提取點或橫截面。
SOP CHOP to	採用CHOP通道並在SOP中生成3D多邊形。它從CHOP讀取樣本數據並將其轉換為點位置和點屬性。
SOP Circle	創建開弧或閉弧，圓和橢圓。如果兩個非理性的NURBS圓（即它們的X和Y半徑不相等）被蒙皮，則可能產生比預期更多的等參線。
SOP Clay	通過拉動直接位於其上的點來使面和表面變形。與操縱控制點（CV）的Point SOP或其他SOP相反，Clay SOP對原始輪廓本身進行操作，提供了一種直接，直觀且不受約束的重塑幾何形狀的方法。
SOP Clip	使用平面切割和摺痕源幾何。
SOP Convert	將幾何從一種幾何類型轉換為另一種類型。類型包括多邊形，網格，Bezier patche，粒子和球體基元。
SOP Creep	允許您沿PathInput幾何體的曲面變形和動畫源輸入幾何體。
SOP Capture Region	定義捕獲區域（cregion），這是一種原始類型，可以被認為是一個修改過的管基元（兩端都有半個球體的管）。
SOP Curveclay	類似於Clay SOP，您不是通過修改CV而是通過直接操作曲面來變形樣條曲面。
SOP Curvesect	查找兩個或多個面（多邊形，Bziers和NURBS曲線）之間或面與多邊形或樣條曲面之間的最小距離的交點或點。
SOP Divide	分割輸入的多邊形幾何。它將使用Bricker選項平滑輸入多邊形，劃分多邊形以及細分輸入多邊形。
SOP Extrude	可用於：擠出和斜切文本和其他幾何形狀斜切邊緣以獲得銳利邊緣使基本體更厚或更薄為了做到這一點，它使用表面法線來確定擠出方向。
SOP Facet	允許您控制給定對象的刻面的平滑度。它還可以讓您合併點或曲面法線。
SOP File In	允許您讀取以前在模型編輯器中創建的幾何文件，從SOP輸出幾何體或從其他軟件（如Houdini）生成的幾何體文件。
SOP Fillet	用於在兩條曲線/多邊形或兩個曲面/網格之間創建平滑的橋接幾何體。 Filleting在每個輸入對之間創建一個新原語，並且永遠不會影響原始形狀。
SOP Fit	使樣條曲線適合一系列點或樣條曲面到m X n網點。任何類型的面或表面都代表有效的輸入。
SOP Font	允許您從Adobe Type 1 Postscript字體在模型中創建文本。要安裝字體，請將字體文件複製到安裝路徑的$ TFS / touch / fonts目錄中。
SOP Force	將力屬性添加到輸入元球場，粒子SOP或Spring SOP將其用作吸引力或排斥力場。
SOP Fractal	允許您創建輸入幾何體的鋸齒狀山狀分割。它將沿指定的法向量（方向xyz場）或輸入幾何的頂點法線創建隨機看起來的偏差和子劃分。
SOP Grid	允許您使用多邊形，網格，Bzier和NURBS曲面或使用開放多邊形的多條線創建網格和矩形。
SOP Hole	即使它們不在同一平面上，也可以在面被封閉的地方打洞。它還可以從輸入幾何體中刪除現有孔。
SOP In	在Component中創建SOP輸入。組件輸入以字母數字的形式定位在節點的左側。
SOP Iso Surface	使用隱式函數創建12年級函數和關係教科書中的等軸曲面的3D可視化。
SOP Join	將一系列面或曲面連接到一個繼承其屬性的基元。不同類型的面可以連接在一起，表面也可以連接在一起。
SOP Joint	通過在每對輸入圓之間創建一系列圓圈，有助於創建基於圓的骨架。
SOP Lattice	允許您通過操作網格或包含輸入源幾何體的細分框來創建其輸入幾何體的動畫變形。
SOP Line	創建直線。
SOP LOD	這是不尋常的，因為它實際上並沒有改變任何幾何形狀。相反，它為輸入對象構建了一個詳細級別的緩存。
SOP LSystem	Lsystem SOP實現L系統（Lindenmayer系統，以Aristid Lindenmayer（1925-1989）命名），允許通過使用迭代來定義復雜形狀。
SOP Magnet	允許您使用由元球場定義的影響“磁場”來影響輸入幾何體的變形。
SOP Material	允許在SOP級別將材料（MAT）分配給幾何體。注意：“對象組件”中的“材質”參數將覆蓋使用“材質SOP”指定給幾何體的材質屬性。
SOP Merge	合併來自多個SOP的幾何體。
SOP Metaball	創建metaballs和meta-superquadric曲面。 Metaballs可以被認為是球形力場，其表面是在力場密度等於某個閾值的任何點處定義的隱函數。
SOP Model	在TouchDesigner中保存曲面建模器。它旨在保存使用SOP編輯器（aka Modeler）構建的原始模型幾何體。
SOP Noise	使用噪聲模式替換幾何點。它使用與Noise CHOP相同的數學運算。
SOP Null	對幾何體沒有影響。它是與其輸入相關的SOP實例。在參考SOP網絡時經常使用Null SOP，允許將新的SOP添加到網絡（上游）而無需更新參考。
SOP Out	用於在Component中創建SOP輸出。組件輸出以字母數字的形式定位在組件的右側。
SOP Particle	用於創建和控製粒子系統模擬的“粒子”運動。粒子系統通常用於創建自然事件的模擬，例如雨雪，或煙花和火花等效果。
SOP Point	允許您直接進入幾何體並操縱源中的點的位置，顏色，紋理坐標和法線以及其他屬性。
SOP Polyloft	通過連接（即放樣/縫合）開放或閉合面的點而不添加任何新點來生成三角形網格。
SOP Polypatch	從網格圖元或一組面（多邊形，NURBS或貝塞爾曲線）創建平滑多邊形貼片。
SOP Polyspline	使樣條曲線適合多邊形或外殼，並輸出該樣條曲線的多邊形近似值。您可以選擇在原始點之間創建分割，或者忽略原始點的位置，並將形狀劃分為相等長度的分段。
SOP Polystitch	嘗試將多邊形表面縫合在一起，從而消除因在不同細節水平下評估表面而產生的裂縫。
SOP Profile	啟用配置文件的提取和操作。在項目SOP之後，您通常需要Trim SOP，Bridge SOP或Profile SOP。
SOP Project	通過將3D面投影到樣條曲面上來創建曲面上的曲線（也稱為修剪或輪廓曲線），就像光線將2D陰影投射到3D曲面上一樣。
SOP Rails	通過拉伸兩個導軌之間的橫截面來生成曲面。這類似於Sweep SOP，但它可以更好地控制橫截面的方向和縮放。
SOP Ray	用於將一個表面投影到另一個表面上。從輸入幾何的每個點沿其法線方向投射光線。
SOP Refine	允許您在不更改其形狀的情況下增加任何NURBS，Bzier或多邊形曲面或面的CV數。
SOP Resample	將一個或多個基元重新採樣為偶數段。它僅適用於多邊形，因此當呈現NURBS或Bzier曲線輸入時，它首先使用Level of Detail參數將其轉換為多邊形。
SOP Revolve	旋轉面部以創造革命的表面。旋轉的方向和原點由引導幾何體表示，類似於粗線，中心有十字線。
SOP Sequence Blend	允許您在形狀和插值點位置，顏色，點法線和形狀之間的紋理坐標之間進行3D變形。
SOP Script	每次腳本SOP烹飪時運行腳本。默認情況下，腳本SOP是使用包含三個Python方法的停靠DAT創建的：cook，onPulse和setupParameters。
SOP Select	允許您從TouchDesigner中的任何其他位置引用SOP。為了節省內存，Select SOP創建SOP引用的實例。
SOP Skin	採取任意數量的面孔並在其上構建皮膚表面。但是，如果給定兩個或更多個曲面，則SOP構建四個蒙皮，每組邊界曲線一個。
SOP Sphere	生成不同幾何類型的球形對象。它能夠創建所有幾何類型的非均勻可伸縮球體。
SOP Spring	使用多邊形邊緣上的彈簧“力”和連接到每個點的質量來變形和移動輸入幾何體。
SOP Stitch	用於拉伸兩條曲線或曲面以覆蓋平滑區域。它還可用於製造某些類型的軟墊面料，如靠墊和降落傘。
SOP Subdivide	採用輸入多邊形曲面（可以通過管道輸入一個或兩個輸入），並使用Catmull-Clark細分算法劃分每個面以創建平滑的多邊形曲面。
SOP Superquad	生成isoquadric表面。這產生了一個類似於元球的球形，不同之處在於它不會改變它的形狀以響應周圍的形狀。
SOP Surfsect	使用NURBS和Bezier曲面執行布爾運算，或僅生成曲面相交的輪廓。
SOP Sweep	沿著Backbone Source基元在橫截面輸入中掃描基元，創建帶狀和管狀形狀。
SOP Switch	在最多9999個可能的輸入之間切換。此SOP的輸出由“選擇輸入”字段指定。
SOP Torus	生成圓環形狀的完整或特定部分（如甜甜圈）。
SOP Trace	讀取圖像文件並自動跟踪圖像文件，在超過特定亮度閾值的區域周圍生成一組面。
SOP Trail	採用輸入SOP並在過去幾幀中對輸入SOP的每個點進行跟踪，並以不同方式連接路徑。
SOP Trim	切除樣條曲面的一部分，或展開先前切割的碎片。當一部分錶面被修剪時，它實際上並未從表面上移除;相反，那部分是不可見的。
SOP Tristrip	將幾何轉換為三角形條。三角形條帶比常規三角形或四邊形更快。
SOP Tube	沿X，Y或Z軸生成開放或封閉的管，錐體或金字塔。它輸出為網格，多邊形或簡單的管基元。
SOP Twist	執行非線性變形，如彎曲，線性錐度，剪切，擠壓和拉伸，錐度和扭曲。
SOP Vertex	允許您在每個頂點（而不是每個點）的基礎上編輯/創建屬性。它在這方麵類似於Point SOP。
SOP Wireframe	將邊緣轉換為管道並指向球體，從而在渲染中創建線框結構的外觀。
SOP Arm	為手臂創建所有必需的幾何形狀，並提供平滑，無扭曲的皮膚，將手臂連接到身體。
SOP Capture	用於對幾何體中的點進行加權以捕獲區域。加權方案將在下一節“捕獲區域SOP”中介紹。
SOP Copy	允許您複製其他SOP的幾何圖形，並對每個副本應用轉換。它還允許您將幾何體複製到輸入模板上的點。
SOP DAT to	可用於從DAT表創建幾何圖形，或者如果指定了SOP輸入，則可以修改現有幾何圖形上的屬性。
SOP Deform	採用幾何點和點權重（由Capture SOP指定）並在移動捕獲區域時變形幾何體。
SOP Delete	通過使用三個選項中的任意一個刪除由組規範或幾何選擇選擇的輸入幾何：按實體編號，按邊界體積和按實體（原始/點）法線。
SOP Group	根據各種標準生成點或基元組，並允許您對這些組進行操作。
SOP Inverse Curve	從逆向曲線CHOP中獲取數據並從中構建曲線。
SOP Limit	通過CHOP為其提供樣品創建幾何體。它在樣本中的每個點創建幾何。
SOP Line Thick	從曲線擠出表面。該線可以是多邊形，NURBS或Bezier幾何類型。
SOP Object Merge	允許您合併跨越不同組件的多個SOP的幾何。
SOP Polyreduce	將高細節多邊形模型減少為由較少多邊形組成的模型。第二個輸入的多邊形表示要素邊。
SOP Primitive	就像Point SOP一樣，除了原始特定的屬性（如反轉原始法線）之外，還可以操縱基元的位置，大小，方向，顏色，alpha。
SOP Rectangle	創建一個4邊多邊形。它是一個平面。
SOP Sort	允許您以不同方式對點和基元進行排序。有時基元按所需順序排列，但點順序不是。
SOP Sprite	在由XYZ CHOP參數中引用的CHOP定義的點位置處創建幾何（四精靈）。
SOP Text	從系統上安裝的任何TrueType字體或磁盤上的任何TrueType字體文件創建文本幾何。
SOP Texture	將紋理UV和W坐標指定給Source幾何體，以用於紋理和凹凸貼圖。它生成多層紋理坐標。
SOP Transform	在“對象空間”中轉換，旋轉和縮放輸入幾何體或在SOP中本地縮放輸入幾何體。模型編輯器和變換SOP都在“對象空間”中工作，並更改點的X Y Z位置。
DAT Convert	將文本格式從簡單文本更改為表格形式，反之亦然。
DAT Evaluate	使用字符串編輯和數學表達式更改傳入DAT的單元格。它輸出一個具有相同行數和列數的表。
DAT Examine	允許您檢查操作員的python存儲，本地，全局，表達式和擴展。
DAT File In	讀入.txt文本文件和.dat表文件。它將嘗試將任何其他文件作為原始文本讀取。該文件可以位於磁盤上或Web上。
DAT File Out	允許您將DAT內容寫入.dat文件或.txt文件。 .dat文件是TouchDesigner的文件類型之一，用於保存表DAT的數組。
DAT Folder	列出文件系統文件夾中的文件和子文件夾，並監視所有更改。對於找到的每個項目，在表格中創建一行，其中包含以下信息的可選列：名稱擴展名類型大小深度文件夾路徑日期創建日期已修改。
DAT In	用於在Component中創建DAT輸入。組件輸入以字母數字的形式定位在組件的左側。
DAT Info	提供有關節點的字符串信息。只有一些節點包含可由Info DAT訪問的其他字符串信息。
DAT Insert	允許您將行或列插入現有表。如果輸入DAT不是表，則將其轉換為表。
DAT Merge	Merged DAT是一個多輸入DAT，它將來自輸入DAT的文本或表合併在一起。
DAT Null	對數據沒有影響。它是連接到其輸入的DAT的實例。 Null DAT通常在引用DAT網絡時使用，允許將新DAT添加到網絡（上游），而無需更新引用。
DAT OP Find	遍歷組件層次結構，從一個組件開始，查看該組件中的所有節點，並輸出一個表，每個節點有一行符合用戶選擇的條件。
DAT Out	用於在Component中創建DAT輸出。組件輸出以字母數字的形式定位在組件的右側。
DAT Perform	以表DAT格式記錄各種性能時間。這些基準測試與性能監視器報告的基準測試類似。
DAT Reorder	允許您重新排序輸入表的行和列。您還可以使用“在指定順序”選項獲取行和列的重複副本。
DAT Script	每次腳本DAT烹飪時運行腳本。默認情況下，腳本DAT是使用包含三種Python方法的停靠DAT創建的：cook，onPulse和setupParameters。
DAT Select	允許您從TouchDesigner中的任何其他位置獲取DAT，並選擇行和列的任何子集（如果它是表）。
DAT Sort	將按行或列對錶DAT數據進行排序。
DAT Substitute	使用模式匹配和替換字符串更改傳入DAT的單元格。它輸出一個具有相同行數和列數的表。
DAT Switch	是一個多輸入操作符，允許您使用Input參數選擇輸出哪個輸入。
DAT Transpose	將行轉換為列。行數變為列數，反之亦然。
DAT Art-Net	輪詢並列出網絡上的所有設備。
DAT CHOP Execute	將在指定CHOP的值更改時運行其腳本。您可以指定要查看的通道，並根據其值以各種方式更改來觸發。
DAT CHOP to	允許您以表格格式將CHOP通道值轉換為DAT。
DAT Clip	包含有關由Clip CHOP和Clip Blender CHOP操縱的運動剪輯的信息。 Clip DAT可以保存任何命令或腳本文本，可以根據Execute參數頁面上的設置觸發（這是Clip DAT和Text DAT不同的地方）。
DAT DAT Execute	監視另一個DAT的內容，並在這些內容髮生變化時運行腳本。另一個DAT通常是一張桌子。
DAT Error	列出其FIFO（先進/先出）表中最新的TouchDesigner錯誤。您可以使用某些列上的模式匹配來過濾我們的消息，例如Severity，Type和包含錯誤的節點的路徑。
DAT EtherDream	輪詢並列出所有連接的EtherDream設備。另請參見：EtherDream CHOP，掃描CHOP。
DAT Execute	允許您編輯腳本並根據條件運行它們。它可以在每個幀的開始或結束時執行，也可以在TouchDesigner進程的開始或結束時執行。
DAT FIFO	FIFO DAT維護表中用戶設置的最大行數。您可以使用DAT類中的appendRow（）方法添加行。達到其容量時，將刪除第一行。達到最大行數後，添加新行時將丟棄最舊的行。
DAT Indices	在表中創建一系列數字，範圍在起始值和結束值之間。這些值適合沿圖表水平軸或垂直軸顯示。
DAT Keyboard In	列出其FIFO（先進/先出）表中的最新關鍵事件。每按一次按鍵和每個按鍵都有一行，包括Shift，Ctrl和Alt，區分左右兩側。
DAT MIDI Event	從所有MIDI設備記錄進入TouchDesigner的所有MIDI信息。它以表格格式輸出列：消息，類型，通道，索引，值。
DAT MIDI In	從指定的MIDI設備記錄進入TouchDesigner的所有MIDI信息。它以表格格式輸出列 - 消息，類型，通道，索引，值。
DAT Monitors	是關於所有當前檢測到的監視器的數據表，其中包含有關分辨率，屏幕定位，監視器名稱和描述的信息，以及指示其是否為主監視器的標誌。
DAT Multi Touch In	用於從Windows 7+標準多點觸控API接收消息和事件。它捕獲所有消息，其中每個新消息更改其輸出的表。
DAT OP Execute	運算符狀態更改時運行腳本。 OP Execute DAT是使用默認的python方法佔位符創建的。
DAT OSC In	使用UDP接收和解析完整的Open Sound Control數據包。解析每個數據包並將其作為一行附加到DAT表中。
DAT OSC Out	用於通過遠程計算機之間的OSC連接發送信息。使用send命令啟動數據輸出。
DAT Panel Execute	將在指定面板組件的值更改時運行其腳本。您可以指定要監視的面板值，並根據其各種方式更改的值觸發腳本。
DAT Parameter Execute	當任何節點的參數改變狀態時，Parm Execute DAT運行腳本。參數可以通過4種方式觸發腳本：如果其值，表達式，導出或啟用狀態發生更改。
DAT Render Pick	允許您在3D渲染場景上進行多點觸控。它對渲染進行採樣（從Render TOP或Render Pass TOP）並從指定拾取位置的幾何體返回3D信息。
DAT Serial	用於通過外部端口進行串行通信，使用R​​S-232協議。這些端口通常是9針連接器，或新機器上的USB端口。
DAT SOP to	允許您提取點和基元數據和屬性。數據以列的形式輸出，第一列是索引。
DAT TUIO In	接收並解析TUIO消息（通過網絡接收）到表中的列。 TUIO數據包OSC捆綁，因此TUIO數據也可以在OSC In DAT中以更原始的形式查看。
DAT Table	允許您創建一個包含行和列單元格的表格，每個單元格包含一個文本字符串。 “表格”是兩種形式的DAT之一（另一種是通過文本DAT簡單地形成“自由形式”文本的行）。
DAT TCP/IP	用於通過兩台遠程計算機之間的TCP / IP連接發送和接收信息。
DAT Text	允許您編輯自由格式的多行ASCII文本。它用於腳本，GLSL著色器，註釋，XML和其他用途。
DAT Touch In	通過Touch Out DAT接收整個網絡的完整表格，而不是使用其他基於網絡的DAT的消息。
DAT Touch Out	通過網絡將完整的DAT表發送到另一個TouchDesigner進程中的Touch In DAT，而不是使用其他基於網絡的DAT的消息。
DAT UDP In	用於通過兩個遠程計算機之間的UDP連接接收信息。它可以捕獲所有消息而無需任何排隊或緩衝，並允許您發送任何所需的消息。
DAT UDP Out	用於通過UDP連接向遠程計算機發送信息或從遠程計算機發送信息。
DAT UDT In	用於通過兩台遠程計算機之間的UDT連接接收信息。 它可以捕獲所有消息而無需任何排隊或緩衝，並允許您發送任何所需的消息。
DAT UDT Out	用於通過遠程計算機之間的UDT連接發送信息。 使用udtoutDAT_Class發送消息。
DAT Web	從Web連接獲取數據頁面。 數據應該是ASCII可讀的。 Web DAT將自動解壓縮任何gzip壓縮頁面傳輸。
DAT WebSocket	接收和解析WebSocket消息。 WebSockets是Web服務器和客戶端使用的快速有效的雙向通信協議。
DAT XML	可用於解析任意XML和SGML / HTML格式的數據。 格式化後，可以輸出文本的選定部分以供進一步處理。
