path	/ui/dialogs/menu_op/summaries						
op	en	zh-TW	ja-JP	fr	ru	es	eo
CHOP Shift	Time-shifts a CHOP, changing the start and end of the CHOP's interval. However, the contents of the channels remain the same.	時移CHOP，改變CHOP間隔的開始和結束。但是，頻道的內容保持不變。	CHOPをタイムシフトし、CHOPの間隔の開始と終了を変更します。ただし、チャネルの内容は変わりません。	Le temps décale un CHOP, en changeant le début et la fin de l'intervalle du CHOP. Cependant, le contenu des canaux restent les mêmes.	Время-сдвигает ЧОП, изменяя начало и конец интервала отбивной в. Тем не менее, содержание каналов остаются неизменными.	Tiempo-turnos al CHOP, cambiando el inicio y el final del intervalo del CHOP. Sin embargo, los contenidos de los canales siguen siendo los mismos.	Tempo-ŝanĝas kun Chop, ŝanĝante la komenco kaj fino de la Chop la intervalo. Tamen, la enhavo de la kanaloj restas la sama.
CHOP Shuffle	Reorganizes the samples in a set of channels. It is useful for transforming data received by the SOP to CHOP and TOP to CHOPs into channels containing only one row or column.	在一組通道中重新組織樣本。將SOP接收的數據轉換為CHOP和TOP轉換為CHOP到僅包含一行或一列的通道非常有用。	サンプルを一連のチャンネルに再編成します。 SOPが受け取ったデータをCHOPに、TOPをCHOPに変換して、1行または1列のみを含むチャネルに変換するのに役立ちます。	Réorganise les échantillons dans un ensemble de canaux. Il est utile pour transformer les données reçues par le SOP à CHOP et de haut en côtelettes dans les canaux ne contenant qu'une seule ligne ou une colonne.	Реорганизуют образцы в наборе каналов. Это полезно для преобразования данных, полученных с помощью СОП, чтобы расколоть и сверху отбивные в каналы, содержащие только одну строку или столбец.	Reorganiza la muestras en un conjunto de canales. Es útil para la transformación de los datos recibidos por el SOP a CHOP y de arriba a chuletas en los canales que contienen sólo una fila o columna.	Reorganizas la specimenojn en aro de kanaloj. Ĝi estas utila por transformi datumojn ricevitaj de la SOP haki kaj TOP al kotletojn en kanalojn enhavantaj nur unu vico aŭ kolumno.
CHOP Slope	Calculates the slope (or "derivative" in math-speak) of the input channels. If the input CHOP represents position, the slope can be interpreted as speed.	計算輸入通道的斜率（或數學說話中的“導數”）。如果輸入CHOP表示位置，則斜率可以解釋為速度。	入力チャンネルの傾き（または数学的には「微分」）を計算します。入力CHOPが位置を表す場合、勾配は速度として解釈されます。	Calcule la pente (ou « dérivé » dans le jargon mathématique) des canaux d'entrée. Si le clapot d'entrée représente la position, la pente peut être interprétée comme la vitesse.	Вычисляет наклон (или «производный» в математическом-говорить) из входных каналов. Если вход ЧОП представляет положение, наклон можно интерпретировать как скорость.	Calcula la pendiente (o "derivado" en matemáticas-hablar) de los canales de entrada. Si el CHOP entrada representa la posición, la pendiente se puede interpretar como la velocidad.	Kalkulas la deklivo (aŭ "derivita" en matematiko-paroli) de la enigo kanalojn. Se la eniga hakas reprezentas pozicion, la deklivo povas esti interpretita kiel rapido.
CHOP Sort	Re-orders the inputs channels samples by value or by random. Specifying a channel to be sorted will reorder all remaining channels samples according to the new order.	按值或隨機重新排序輸入通道樣本。指定要排序的通道將根據新訂單重新排序所有剩餘通道樣本。	入力チャンネルサンプルを値順またはランダムに並べ替えます。ソートするチャンネルを指定すると、新しい順序に従って残りのすべてのチャンネルサンプルを並べ替えます。	Re-commandes des canaux entrées échantillons par valeur ou par hasard. La spécification d'un canal à trier se réorganiser tous les canaux restants des échantillons en fonction de la nouvelle commande.	Повторно заказы на входы каналов выборок по значению или по случайным. Указание канала для сортировки будет изменять порядок все остальные каналы образцов согласно новому порядку.	Re-órdenes las muestras canales de entrada por valor o por azar. Especificación de un canal para ser ordenada reordenará todas las muestras restantes canales de acuerdo con el nuevo orden.	Re-ordoj la enigoj kanalojn specimenoj de valoro aŭ de hazardo. Preciziganta kanalo esti ordo estos reordigi ĉiuj ceteraj kanalojn specimenojn laŭ la nova ordo.
CHOP Audio Spectrum	Calculates and displays the frequency spectrum of the input channels. In the default Visualization Mode the CHOP is set to display the spectrum in a more understandable way by emphasizing the higher frequency levels and the lower frequency ranges.	計算並顯示輸入通道的頻譜。在默認的可視化模式中，CHOP設置為通過強調較高頻率級別和較低頻率範圍以更易理解的方式顯示頻譜。	入力チャンネルの周波数スペクトルを計算して表示します。デフォルトのビジュアライゼーションモードでは、CHOPはより高い周波数レベルとより低い周波数範囲を強調することによってよりわかりやすい方法でスペクトルを表示するように設定されています。	Calcule et affiche le spectre de fréquences des canaux d'entrée. Dans le mode de visualisation par défaut le clapot est configuré pour afficher le spectre d'une manière plus compréhensible en mettant l'accent sur les niveaux de fréquences plus élevées et les gammes de fréquences inférieures.	Рассчитывает и отображает частотный спектр входных каналов. В режиме визуализации по умолчанию отбивной настроен на отображение спектра в более понятным образом, делая упор на более высокие уровни частот и более низкие диапазоны частот.	Calcula y muestra el espectro de frecuencia de los canales de entrada. En el modo de visualización predeterminada, el CHOP está configurado para mostrar el espectro de una manera más comprensible haciendo hincapié en los niveles de frecuencia más altas y las gamas de frecuencias inferiores.	Kalkulas kaj montras la frekvenca spektro de la enigo kanalojn. En la defaŭlta Bildigo Maniero la kotleton estas metita por montri la spektro en pli komprenebla maniero de reliefigi la pli alta frekvenco niveloj kaj la pli malalta frekvenco gamoj.
CHOP Speed	Converts speed (units per second) to distance (units) over a time range. More generally, you give it a rate (the CHOP input) and it outputs a cumulative value.	在一個時間範圍內將速度（每秒單位）轉換為距離（單位）。更一般地說，你給它一個速率（CHOP輸入）並輸出一個累積值。	時間範囲内の速度（1秒当たりの単位）を距離（単位）に変換します。より一般的には、あなたはそれにレート（CHOP入力）を与え、それは累積値を出力します。	Conversion de vitesse (unités par seconde) à la distance (unités) sur un intervalle de temps. De manière plus générale, vous lui donnez un taux (l'entrée CHOP) et génère une valeur cumulative.	Преобразование скорости (единиц в секунду), чтобы расстояние (единиц) в течение интервала времени. В более общем смысле, вы дать ему скорость (вход ЧОП) и выводит совокупную величину.	Convierte velocidad (unidades por segundo) a la distancia (unidades) en un intervalo de tiempo. De manera más general, se le da una velocidad (la entrada CHOP) y se da salida a un valor acumulativo.	Konvertas rapido (unuoj por dua) distancigi (unuoj) super tempo gamo. Pli ĝenerale, oni donu al ĝi indico (la kotleton enigo) kaj ĝi eligas tuteca valoro.
CHOP Spring	Creates vibrations influenced by the input channels, as if a mass was attached to a spring. It acts as if, for every channel, there is a mass at the end of a spring, affected by a distance from the actual position (the output of the channel at the previous frame) to the desired position (the input channel at the current frame).	產生受輸入通道影響的振動，就像質量附著在彈簧上一樣。對於每個通道，它的作用就像是彈簧末端有質量，受實際位置（前一幀通道輸出）到所需位置（當前輸入通道）的距離影響幀）。	まるでマスがスプリングに取り付けられているかのように、入力チャンネルの影響を受ける振動を作成します。実際の位置（前のフレームでのチャンネルの出力）から目的の位置（現在の入力チャンネル）までの距離の影響を受けて、まるですべてのチャンネルに対してスプリングの端に質量があるかのように機能します。フレーム）。	Crée des vibrations influencés par les canaux d'entrée, comme si une masse est fixée à un ressort. Il agit comme si, pour chaque canal, il y a une masse à l'extrémité d'un ressort, affecté par une distance entre la position réelle (la sortie du canal à la trame précédente) à la position désirée (le canal d'entrée au niveau du courant Cadre).	Создает колебания под влиянием входных каналов, как если бы масса была прикреплена к пружине. Он действует, как если бы, для каждого канала, существует масса в конце пружины, зависит от расстояния от фактической позиции (на выходе канала в предыдущем кадре) в требуемое положение (входной канал при токе Рамка).	Crea vibraciones influenciados por los canales de entrada, como si una masa se une a un resorte. Actúa como si, para cada canal, hay una masa en el extremo de un resorte, afectado por una distancia desde la posición actual (la salida del canal en la trama anterior) a la posición deseada (el canal de entrada en la corriente cuadro).	Kreas vibrojn influita de la enigo kanalojn, kvazaŭ amaso estis ligita al printempo. Ĝi agas kiel se, por ĉiu kanalo, estas maso fine de printempo, tuŝita de distanco de la aktuala pozicio (la eliro de la kanalo al la antaŭa kadro) al la dezirata pozicio (la enigan kanalon ĉe la nuna kadro).
CHOP Stretch	Preserves the shape of channels and the sampling rate, but resamples the channels into a new interval.	保留通道的形狀和採樣率，但將通道重新採樣為新的間隔。	チャネルの形状とサンプリングレートを保持しますが、チャネルを新しい間隔に再サンプリングします。	Conserve la forme de canaux et la fréquence d'échantillonnage, mais rééchantillonne les canaux dans un nouvel intervalle.	Сохраняет форму каналов и частоты дискретизации, но передискретизирует каналы в новый интервал.	Preserva la forma de los canales y la frecuencia de muestreo, pero vuelve a muestrear los canales en un nuevo intervalo.	Preserves la formo de kanaloj kaj la specimena kvanto, sed resamples la kanalojn en novan intervalo.
CHOP Switch	Allows you to control the flow of channels through a CHOPnet. It selects one of the input CHOPs by index and copies it exactly.	允許您通過CHOPnet控制通道流。它按索引選擇一個輸入CHOP並完全複製它。	CHOPnetを通してチャンネルの流れを制御することができます。入力CHOPの1つをインデックスで選択し、それを正確にコピーします。	vous permet de contrôler le flux des canaux par un CHOPnet. Il sélectionne l'un des Côtelettes de saisie par index et des copies exactement.	Позволяет контролировать поток каналов через CHOPnet. Он выбирает один из входных отбивных по индексу и копирует его точно.	Le permite controlar el flujo de los canales a través de un CHOPnet. Selecciona una de las chuletas de entrada de índice y lo copia exactamente.	Permesas kontroli la fluon de la kanaloj tra CHOPnet. Ĝi selektas unu el la enigo kotletojn de indekso kaj kopioj gxin precize.
CHOP Timer	Is an engine for running timed processes. It outputs channels such as timing fractions, counters, pulses and timer states, and it calls python functions (callbacks) when various timing events occur.	是用於運行定時進程的引擎。它輸出定時分數，計數器，脈沖和定時器狀態等通道，並在發生各種定時事件時調用python函數（回調）。	時限プロセスを実行するためのエンジンです。タイミングの端数、カウンタ、パルス、タイマーの状態などのチャネルを出力し、さまざまなタイミングイベントが発生したときにpython関数（コールバック）を呼び出します。	Est-ce un moteur pour l'exécution de processus chronométré. Elle génère des canaux tels que des fractions de synchronisation, des compteurs, des impulsions et des états de la minuterie, et il appelle les fonctions python (de callbacks) lorsque divers événements de synchronisation se produisent.	Является ли двигатель для запуска приуроченных процессов. Он выводит каналы, такие как синхронизации фракции, счетчики, импульсы и состояния таймера, и это вызывает Python функция (функции обратного вызова), когда происходят различные события синхронизации.	Es un motor para el funcionamiento de los procesos cronometrados. Se da salida a los canales, tales como fracciones de tiempo, contadores de impulsos, y los estados del temporizador, y que llama pitón funciones (devoluciones de llamada) cuando se producen varios eventos de temporización.	Estas motoro lanĉadon timed procezoj. Ĝi eligas kanaloj kiel tempigo frakcioj, nombriloj, pulsoj kaj temporizador ŝtatoj, kaj ĝi nomas python funkcioj (funkcivokoj) kiam diversaj altempigo eventoj.
CHOP Timeline	Outputs time-based CHOP channels for a specific component.  The time channels are defined by a Time Component whose Path can be determined using the expression timepath() .	輸出特定組件的基於時間的CHOP通道。時間通道由時間組件定義，其路徑可以使用表達式timepath（）來確定。	特定のコンポーネントの時間ベースのCHOPチャンネルを出力します。時間チャネルは、そのtimeが式timepath（）を使用して決定できるTime Componentによって定義されます。	Délivre en sortie des canaux de CHOP basés sur le temps pour un composant spécifique. Les canaux temporels sont définis par un composant temps dont le chemin peut être déterminée en utilisant l'expression timepath ().	Выходы времени на основе CHOP каналов для конкретного компонента. Временные каналы определены с помощью компонента времени, путь которого можно определить, используя выражение timepath ().	Emite canales CHOP basados ​​en el tiempo para un componente específico. Los canales de tiempo están definidas por un componente de tiempo cuya ruta puede ser determinada usando el timepath expresión ().	Eligas tempo-bazita hakas kanalojn por specifa komponanto. La tempo kanalojn estas difinitaj fare de Time Komponanto kies Vojo eblas determinitaj uzante la esprimon timepath ().
CHOP Time Slice	Outputs a time slice of samples. It is used to generate smooth in-betweens when TouchDesigner cannot cook/draw fast enough and keep up with the animation's frames per second.	輸出樣本的時間片。當TouchDesigner無法快速烹飪/繪製並且跟上每秒動畫的幀數時，它用於生成平滑的中間。	サンプルのタイムスライスを出力します。 TouchDesignerが十分な速度でクック/ドローできず、アニメーションの1秒あたりのフレームに追いついていないときに、スムーズな中間点を生成するために使用されます。	Sorties d'une tranche de temps d'échantillons. Il est utilisé pour générer des lisses en entremetteurs quand TouchDesigner ne peut pas cuisiner / tirer assez vite et suivre les images de l'animation par seconde.	Выходы временной срез образцов. Он используется для создания гладких в-посредников при TouchDesigner не может готовить / сделать достаточно быстро и не отставать от кадров анимации в секунду.	Da salida a un segmento de tiempo de las muestras. Se utiliza para generar lisa en intermediarios cuando TouchDesigner no puede cocinar / dibujar lo suficientemente rápido y mantenerse al día con los marcos de la animación por segundo.	Eligas tempon tranĉaĵon de specimenoj. Ĝi estas uzata por generi glata en-betweens kiam TouchDesigner ne povas kuiri / tiri sufiĉe rapida kaj resti kun la kuraĝigo de fotogramas por dua.
CHOP Trail	Displays a history of its input channels back in time. A window of time is displayed from the current frame back in time, the size of this window is set by the Window Length parameter.	及時顯示其輸入通道的歷史記錄。從當前幀開始顯示時間窗口，該窗口的大小由窗口長度參數設置。	過去の入力チャンネルの履歴を表示します。現在のフレームから時間的に前のウィンドウが表示され、このウィンドウのサイズはWindow Lengthパラメータによって設定されます。	Affiche une histoire de ses canaux d'entrée dans le temps. Une fenêtre de temps est affiché à partir de la trame en cours dans le temps, la taille de cette fenêtre est définie par le paramètre Longueur de la fenêtre.	Отображает историю входных каналов во время. Окно времени отображается из текущего кадра назад во времени, размер этого окна задается параметром длины окна.	Muestra un historial de sus canales de entrada en el tiempo. Una ventana de tiempo se muestran a partir de la trama actual en el tiempo, el tamaño de esta ventana se establece por el parámetro de la ventana de cuerpo entero.	Montras historio de ĝia enigo kanalojn reen en tempo. Fenestron de tempo estas montrita de la aktuala kadro reen en tempo, la grandeco de tiu ĉi fenestro estas metita fare de la Fenestro Longeco parametron.
CHOP Transform	Takes translate, rotate, and/or scale channels and transforms them using the transform parameters in the CHOP.	進行平移，旋轉和/或縮放通道，並使用CHOP中的變換參數對其進行變換。	チャンネルの移動、回転、拡大/縮小を行い、CHOPの変換パラメータを使用してチャンネルを変換します。	Prend translation, rotation, et / ou des canaux d'échelle et les transforme en utilisant les paramètres de transformation dans le clapot.	Принимает перемещение, вращение, и / или масштабные каналы и преобразует их с использованием параметров преобразования в СНОР.	Toma trasladar, rotar, y / o canales de escala y los transforma usando la transformada de parámetros en el CHOP.	Prenas traduki, turni, kaj / aŭ skalo kanalojn kaj ĝi transformas ilin uzante la konverto parametroj en la kotleton.
CHOP Trigger	Starts an audio-style attack/decay/sustain/release (ADSR) envelope to all trigger pulses in the input channels.	為輸入通道中的所有觸發脈衝啟動音頻類型的攻擊/衰減/延音/釋放（ADSR）包絡。	入力チャンネルのすべてのトリガーパルスに対して、オーディオスタイルのアタック/ディケイ/サステイン/リリース（ADSR）エンベロープを開始します。	Lance une enveloppe attaque de style audio / désintégration / maintien / libération (ADSR) à toutes les impulsions de déclenchement dans les canaux d'entrée.	Запускает аудио-стиль атака / распад / поддержание / высвобождение (ADSR) конверт для всех запускающих импульсов во входных каналах.	Inicia un sobre ataque de estilo de audio / decaimiento / sostener / liberación (ADSR) a todos los impulsos de disparo en los canales de entrada.	Komenciĝas sonan-stilo atako / dekadenco / subteni / eldono (ADSR) koverton al ĉiuj ellasilon pulsos en la enigo kanalojn.
CHOP Trim	Shortens or lengthens the input's channels. A part of the interval can be preserved or removed. If the channels are being lengthened, the extend conditions of the channel will be used to get the new values.	縮短或延長輸入通道。可以保留或刪除部分間隔。如果通道被延長，通道的擴展條件將用於獲取新值。	入力チャンネルを短くまたは長くします。間隔の一部は保存することも削除することもできます。チャンネルが長くなっている場合は、チャンネルの拡張条件を使用して新しい値を取得します。	Raccourcit ou allonge les canaux de l'entrée. Une partie de l'intervalle peut être conservé ou éliminé. Si les canaux sont rallongées, les conditions d'étendre du canal seront utilisés pour obtenir les nouvelles valeurs.	Сокращает или удлиняют каналы входных в. Часть интервала может быть сохранена или удалена. Если каналы удлиняются, будут использованы расширяющие условия канала, чтобы получить новые значения.	Alarga o acorta los canales de la entrada. Una parte del intervalo se puede conservar o eliminado. Si los canales están siendo alargados, las condiciones de extender del canal se pueden utilizar para obtener los nuevos valores.	Mallongigas aŭ plilongigas la enigo la kanalojn. Parto de la intervalo povas esti konservita aŭ forigitaj. Se la kanalojn estas estanta plilongiĝis, la etendi kondiĉojn de la kanalo estos uzata por ricevi la novajn valorojn.
CHOP Warp	Time-warps the channels of the first input (the Pre-Warp Channels) using one warping channel in the second input (the Warp Curve).	使用第二個輸入（Warp曲線）中的一個變形通道對第一個輸入（Pre-Warp Channels）的通道進行時間扭曲。	2番目の入力（ワープカーブ）の1つのワープチャンネルを使用して、最初の入力のチャンネル（プリワープチャンネル）をタイムワープします。	Time-déforme les canaux de la première entrée (les canaux pré-chaîne) en utilisant une chaîne d'ourdissage à la seconde entrée (la courbe de chaîne).	Время-деформирует каналы первого входа (пра-Деформация каналов) с использованием одного канала в коробление второго входа (Варп кривого).	Time-urdimbres los canales de la primera entrada (los canales Pre-urdimbre) usando un canal de alabeo en la segunda entrada (la curva de la deformación).	Tempo-warps la kanalojn de la unua eniro (la Antaŭ-Warp Kanaloj) uzante unu warping kanalo en la dua eniro (la Warp Kurbo).
CHOP Wave	Makes repeating waves with a variety of shapes. It is by default 10-seconds of 1-second sine waves, a total of 600 frames.	製作各種形狀的重複波浪。它默認為10秒的1秒正弦波，總共600幀。	さまざまな形の繰り返し波を作ります。デフォルトでは10秒の1秒の正弦波、合計600フレームです。	Fait répéter les ondes avec une variété de formes. Il est par défaut de 10 secondes de 1 seconde ondes sinusoïdales, un total de 600 trames.	Делает повторяющиеся волны с различными формами. Это по умолчанию 10-секунд в 1 секунду синусоидальных волн, в общей сложности 600 кадров.	Hace repitiendo olas con una variedad de formas. Es por defecto de 10 segundos de 1 segundo ondas sinusoidales, un total de 600 marcos.	Faras ripeti ondoj kun diversaj formoj. Estas defaŭlte 10-sekundoj de 1-dua sine ondoj, tuta de 600 kadroj.
CHOP Audio Device Out	Sends audio to any of the attached audio output devices using DirectSound or ASIO. The audio channels can be routed to any speaker location.	使用DirectSound或ASIO將音頻發送到任何連接的音頻輸出設備。音頻通道可以路由到任何揚聲器位置。	DirectSoundまたはASIOを使用して、接続されている任意のオーディオ出力デバイスにオーディオを送信します。オーディオチャンネルは、どのスピーカーの場所にもルーティングできます。	Envoyer un signal audio à l'un des dispositifs de sortie audio à l'aide de joints DirectSound ou ASIO. Les canaux audio peuvent être acheminés à un emplacement du haut-parleur.	Посылает аудио в любой из присоединенных устройств аудиовыхода с использованием DirectSound или ASIO. Звуковые каналы могут быть направлены в любое место громкоговорителя.	Envía audio a cualquiera de los dispositivos de salida de audio adjuntos utilizando DirectSound o ASIO. Los canales de audio se pueden dirigir a cualquier ubicación de los altavoces.	Sendas audio al iu el la kuna eliron de audio aparatoj uzanta DirectSound aŭ ASIO. La audio kanaloj povas esti deturnita al ajna parolanto loko.
CHOP Audio File In	Reads audio from files on disk or at http:// addresses. File types .mp3, .aif, .aiff, .au, and .wav files are supported.	從磁盤上的文件或http：//地址讀取音頻。支持文件類型.mp3，.aif，.aiff，.au和.wav文件。	ディスク上またはhttp：//アドレスのファイルからオーディオを読み取ります。ファイルタイプ.mp3、.aif、.aiff、.au、および.wavファイルがサポートされています。	Lit audio à partir de fichiers sur le disque ou à l'adresse http: // adresses. Types de fichiers .mp3, .aif, aiff, .au et .wav sont pris en charge.	Читает аудио из файлов на диске или по адресу: // адрес. Типы файлов .mp3, .AIF, .aiff, .au и .wav файлов поддерживаются.	Lee audio de los archivos en el disco o en la dirección http: // direcciones. Los tipos de archivos .mp3, .aif, .aiff, .au, .wav y archivos son compatibles.	Legas audio de dosierojn en disko aŭ http: // adresoj. Dosiero tipoj .mp3, .aif, .aiff, .au, kaj .wav dosieroj estas subtenataj.
CHOP Audio Movie	Plays the audio of a movie file that is played back with a Movie File In TOP . Make the Audio Movie TOP point to a Movie File In TOP via the Movie File In TOP parameter.	播放用TOP中的電影文件播放的電影文件的音頻。通過電影文件在TOP參數中將音頻電影TOP指向TOP中的電影文件。	Movie File In TOPで再生されるムービーファイルのオーディオを再生します。 [Movie File In TOP]パラメータを使用して、Audio Movie TOPを[Movie File In TOP]に設定します。	Joue l'audio d'un fichier vidéo qui est lu avec un fichier vidéo en haut. Faire le point TOP Audio Vidéo à un fichier vidéo dans le haut via le fichier vidéo dans le paramètre TOP.	Воспроизведение аудио файла фильма, который воспроизводится с видеофайл в ТОП. Сделать точку Audio Movie TOP к видеофайл в ТОП через видеофайл в параметре TOP.	Reproduce el audio de un archivo de película que se reproduce con un archivo de película en el Top. Hacer que el punto de audio de la película TOP a un archivo de película en el Top través del archivo de película En primer parámetro.	Ludas la sono de filmo dosiero kiu estas ludita reen kun Filmo Dosiero En TOP. Faru la Audio Filmo TOP punkto al Filmo Dosiero En TOP per la Filmo Dosiero En TOP parametron.
CHOP Audio Play	Plays back a sound file through any attached audio output device using DirectSound. It supports .aif, .	使用DirectSound通過任何連接的音頻輸出設備播放聲音文件。它支持.aif ,.	DirectSoundを使用して、接続されているオーディオ出力デバイスを介してサウンドファイルを再生します。 .aif、をサポートしています。	Permet de lire un fichier audio par tout dispositif de sortie audio en utilisant DirectSound joint. Il prend en charge .aif,.	Воспроизведение звукового файла с помощью любого подключенного устройства вывода звука с помощью DirectSound. Он поддерживает .aif,.	Reproduce un archivo de sonido a través de cualquier dispositivo de salida de audio conectado, mediante la DirectSound. Es compatible con .aif,.	Ludas reen sondosieron per kiu ajn ligita eliron de audio aparato uzanta DirectSound. Ĝi subtenas .aif,.
CHOP Audio SDI In	Is a TouchDesigner Pro only operator. The Audio SDI In CHOP can capture the audio from any SDI In TOP .	是僅限TouchDesigner Pro的操作員。音頻SDI在CHOP中可以從任何SDI IN TOP中捕獲音頻。	TouchDesigner Proのみのオペレーターです。音声SDI入力CHOPは、任意のSDI入力TOPから音声を取り込むことができます。	Est un opérateur que TouchDesigner Pro. L'audio SDI CHOP peut capturer l'audio à partir SDI TOP.	Является Pro только оператор TouchDesigner. Audio SDI В ЧОП может захватывать аудио с любого SDI в топе.	Pro es un único operador TouchDesigner. El SDI Audio En CHOP puede capturar el audio de cualquier IDE en la parte superior.	Estas TouchDesigner Pro nur operatoro. La Audio SDI En hakas povas kapti la audio de ajna SDI En TOP.
CHOP Clip	Is a TouchDesigner Pro only operator. See.	是僅限TouchDesigner Pro的操作員。看到。	TouchDesigner Proのみのオペレーターです。見る。	Est un opérateur que TouchDesigner Pro. Voir.	Является Pro только оператор TouchDesigner. Увидеть.	Pro es un único operador TouchDesigner. Ver.	Estas TouchDesigner Pro nur operatoro. Vidu.
CHOP Clip Blender	Is a TouchDesigner Pro only operator.  It can be used as an animation system that blends between different animation clips, preserving rotation, changing target positions etc.	是僅限TouchDesigner Pro的操作員。它可以用作動畫系統，在不同的動畫片段之間進行融合，保持旋轉，改變目標位置等。	TouchDesigner Proのみのオペレーターです。異なるアニメーションクリップ間のブレンド、回転の維持、ターゲット位置の変更などを行うアニメーションシステムとして使用できます。	Est un opérateur que TouchDesigner Pro. Il peut être utilisé comme un système d'animation qui se mélange entre les différents clips d'animation, rotation en préservant, en changeant les positions cibles, etc.	Является Pro только оператор TouchDesigner. Он может быть использован в качестве системы анимации, которая смешивает между различными анимационными клипами, сохраняя вращение, изменение целевых позиций и т.д.	Pro es un único operador TouchDesigner. Se puede utilizar como un sistema de animación que combina entre diferentes clips de animación, la preservación de la rotación, el cambio de posiciones de destino, etc.	Estas TouchDesigner Pro nur operatoro. Oni povas uzi ĝin kiel sistemo de kuraĝigo kiu miksas inter diversaj kuraĝigo klipoj, konservante rotacio, ŝanĝante celo pozicioj ktp
CHOP CPlusPlus	Allows you to make custom CHOP operators by writing your own .dll using C++. Note : The CPlusPlus CHOP is only available in TouchDesigner Commercial and TouchDesigner Pro .	允許您通過使用C ++編寫自己的.dll來創建自定義CHOP運算符。注意：CPlusPlus CHOP僅適用於TouchDesigner Commercial和TouchDesigner Pro。	C ++を使ってあなた自身の.dllを書くことによってカスタムCHOPオペレータを作ることができます。注意：CPlusPlus CHOPは、TouchDesigner CommercialおよびTouchDesigner Proでのみ使用可能です。	vous permet de faire des opérateurs de CHOP personnalisé en écrivant votre propre .dll en C ++. Remarque: Le Cplusplus CHOP est seulement disponible en TouchDesigner commercial et TouchDesigner Pro.	Позволяет делать операторы пользовательских Чоп, написав свой собственный файл .dll с помощью C ++. Примечание: CPlusPlus ЧОП доступен только в TouchDesigner коммерческих и TouchDesigner Pro.	Le permite realizar los operadores CHOP personalizada escribiendo su propio .dll en C ++. Nota: El cplusplus CHOP sólo está disponible en TouchDesigner Comercial y TouchDesigner Pro.	Permesas fari kutimo haki operatoroj skribante vian propran .dll uzante C ++. Noto: La CPlusPlus hakas nur havebla en TouchDesigner Komerca kaj TouchDesigner Por.
CHOP Handle	Is the "engine" which drives Inverse Kinematic solutions using the Handle COMP . The role of the Handle CHOP is to generate rotation values for the bones which will bring their attached handles as close to their respective targets as possible.	是使用Handle COMP驅動Inverse Kinematic解決方案的“引擎”。 Handle CHOP的作用是為骨骼生成旋轉值，使其附加的手柄盡可能靠近各自的目標。	Handle COMPを使用してインバースキネマティックソリューションを推進する「エンジン」です。 Handle CHOPの役割は、アタッチされているハンドルをできる限りそれぞれのターゲットに近づけるように、ボーンの回転値を生成することです。	Est-ce le « moteur » qui entraîne des solutions inverse Cinématique en utilisant la poignée COMP. Le rôle de la poignée CHOP est de générer des valeurs de rotation pour les os qui apporteront leurs poignées attachées au plus près de leurs cibles respectives possible.	Является ли «двигатель», который приводит решения обратных кинематических с помощью ручки COMP. Роль ручки рагу для генерации значений вращения для костей, которые будут приносить свои прикрепленные ручки, как близко к их соответствующим целям, как это возможно.	Es el "motor" que impulsa soluciones cinemáticas inversas utilizando el COMP manija. El papel de la manija CHOP es generar valores de rotación de los huesos que traerán sus asideros instalados tan cerca de sus respectivos objetivos como sea posible.	Ĉu la "motoro" kiu pelas Inversa Kinematic solvoj uzante la Anso COMP. La rolo de la Levilo hakas estas generi rotacio valoroj por la ostoj, kiujn alportos sian ligita ansoj kiel proksime al iliaj respektivaj celoj kiel ebla.
CHOP Inverse Curve	Calculates an inverse kinematics simulation for bone objects using a curve object. The Inverse Curve CHOP will stretch and position a set of bones to follow a curve defined by another set of objects (guide).	使用曲線對象計算骨骼對象的反向運動學模擬。反向曲線CHOP將拉伸和定位一組骨骼，以跟隨另一組對象（指南）定義的曲線。	カーブオブジェクトを使用して、ボーンオブジェクトのインバースキネマティクスシミュレーションを計算します。 Inverse Curve CHOPは、別のオブジェクトセット（ガイド）で定義されたカーブに沿って一連のボーンを引き伸ばして配置します。	Calcule une simulation cinématique d'inversion pour les objets de l'os à l'aide d'un objet courbe. La courbe inverse CHOP va étirer et placer un ensemble d'os pour suivre une courbe définie par un autre ensemble d'objets (guide).	Вычисление Моделирование обратной задачи кинематики для объектов костной ткани с использованием объекта кривой. Обратная Кривая ЧОП будет растягиваться и расположить набор костей, чтобы следовать кривому, определяемому другому набор объектов (руководство).	Calcula una simulación cinemática inversa para objetos de hueso utilizando un objeto de curva. La Curva Inversa CHOP se estirará y la posición de un conjunto de huesos para seguir una curva definida por otro conjunto de objetos (guía).	Kalkulas inversa kinematiko simulado por osto objektoj uzante kurbo objekto. La Inversa Kurbo hakas etendos kaj poziciigi aron de ostoj sekvi kurbo difinita de alia aro de objektoj (gvidanto).
CHOP Inverse Kin	Calculates an inverse kinematics simulation for Bone objects .	計算Bone對象的反向運動學模擬。	Boneオブジェクトの逆運動学シミュレーションを計算します。	Calcule une simulation cinématique d'inversion pour les objets d'os.	Вычисляет моделирование обратной задачи кинематики для объектов Bone.	Calcula una simulación cinemática inversa para objetos de hueso.	Kalkulas inversa kinematiko simulado por Osto objektoj.
